Title,Cluster_0,Cluster_1,Cluster_2,Cluster_3,Cluster_4
All About Love,True,False,False,False,False
Love & Death,False,True,False,False,False
Love in the Present Tense,False,False,False,False,True
The Psychology of Romantic Love,True,False,False,False,False
Almost Like Being in Love,False,False,True,False,False
Love 2.0,False,True,False,False,False
Love,False,False,False,False,True
What Love Is,True,False,False,False,False
Love What Matters,False,True,False,False,False
The Love Book,False,False,False,True,False
